TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH
745.528,15915120000000.0,3929698000000.0,1.433462e+22,122.943,7.75206e+22,642.622925,7370.0,2510.839,7853.166015999999,-0.00528833,7.862999999999999,24.692,-0.01084312,-0.01869679,95.575,29.131,96.426,34.22
1340.279,21143320000000.0,4455647000000.0,1.801205e+22,228.147,4.397438e+23,524.568787,6015.0,14493.63,3503.7531740000004,-0.00998628,43.32899999999999,42.883,-0.17315368,-0.01506224,78.79899999999998,49.034,89.323,49.252
1408.622,32277430000000.0,6759424000000.0,2.306245e+22,56.106,2.556476e+23,1295.514771,14844.0,5208.0329999999985,11733.03125,0.00151794,19.488,31.013,-0.35024112,0.00452807,98.802,36.743,99.854,43.87
1478.208,36623690000000.0,6082069000000.0,2.499405e+22,49.967,2.678267e+23,1297.841675,14872.0,4703.674,11888.446289,0.00116542,19.59,31.764,-0.27170494,0.00387629,97.656,37.175,97.937,43.081
1494.695,32719250000000.0,5187866000000.0,1.847499e+22,59.555,3.129135e+23,2061.538086,23590.0,8043.001999999998,16360.694336000002,-0.00203293,33.35,38.136,0.01253534,-0.0050424,111.809,47.01600000000001,112.581,63.19
1418.7520000000004,31251830000000.0,4463179000000.0,1.861372e+22,58.708,3.124577e+23,2073.988281,23729.0,7815.979,16486.759766,-0.00195048,34.068000000000005,38.269,-0.03828718,-0.00495979,109.989,47.216,110.332,61.897
1956.56,40306080000000.0,15085350000000.0,3.108094e+22,237.402,2.794303e+23,1900.487915,21733.0,4331.331,17373.552734,0.00488702,19.225,29.901,-0.06894866,0.01393625,103.039,37.861,104.031,50.445
1805.703,37114910000000.0,8712076000000.0,2.97131e+22,149.338,2.240059e+23,1599.557983,18294.0,3618.284,15048.820312,0.00320359,15.537,28.126,0.13224448,0.00946609,100.796,35.549,102.306,47.164
1515.719,30264910000000.0,3845247000000.0,3.006369e+22,39.369,1.697534e+23,847.919434,9681.0,2828.173,7484.393066,0.00087112,10.227,24.982,-0.11442404,0.00255133,92.187,31.005,94.579,39.744
1021.007,20434360000000.0,4958987000000.0,1.086859e+22,62.651,1.705391e+23,1494.246948,17051.0,7361.061,13386.353516,0.00359157,30.765,37.378,0.15368652,0.00911517,124.264,48.819,126.179,76.44
1115.605,21690940000000.0,5660532000000.0,1.122413e+22,77.729,1.718256e+23,1527.160767,17426.0,7295.318,13417.123047,0.00438278,29.49,36.428,0.28773224,0.01079794,127.503,47.915,130.886,74.542
1111.588,21996880000000.0,12385310000000.0,1.101938e+22,219.864,1.815054e+23,1548.9216310000004,17678.0,7659.653,13734.829102000003,0.01232214,29.614,36.711,0.31421179,0.03215185,124.019,48.154,125.732,75.721
1208.099,22387540000000.0,3836701000000.0,2.759303e+22,74.428,1.688288e+23,346.584229,3958.0,3220.4970000000008,2736.334229,0.00188559,9.343,22.846,-0.17625761,0.005210899999999999,73.994,29.953000000000007,83.154,33.87
1117.01,22083860000000.0,12803940000000.0,1.14501e+22,256.715,1.816663e+23,1502.200439,17154.0,7568.041999999998,13736.630859,0.01420275,28.553,36.104,0.14142299,0.03616611,125.715,46.628,128.605,74.117
1127.757,23129010000000.0,11331470000000.0,1.156088e+22,199.041,1.703764e+23,1459.251221,16660.0,6941.036999999998,13686.129883,0.01076888,28.513,35.86400000000001,0.05785975,0.02812075,123.917,44.908,129.761,67.007
1085.679,22737720000000.0,12675800000000.0,1.148019e+22,211.907,1.660409e+23,1425.648682,16274.0,6610.269,13638.098633,0.01120371,28.598000000000006,35.964,0.24625453,0.03089627,120.501,44.752,125.712,65.33
1107.481,22169520000000.0,16119170000000.0,1.143286e+22,271.572,1.728858e+23,1365.650024,15584.0,7015.183000000001,13503.407227000003,0.01463448,26.518,34.786,0.26585227,0.040253,121.221,43.762,126.632,65.99
1107.481,22169520000000.0,16119170000000.0,1.143286e+22,271.572,1.728858e+23,1365.650024,15584.0,7015.183000000001,13503.407227000003,0.01463448,26.518,34.786,0.26585227,0.040253,121.221,43.762,126.632,65.99
1185.627,23173740000000.0,15531970000000.0,1.176485e+22,290.827,1.736226e+23,1399.119263,15961.0,7149.1,13362.066406,0.01590348,25.34,34.165,0.1265969,0.04130061,124.508,42.441,131.683,66.277
1181.351,23120010000000.0,14657860000000.0,1.176007e+22,263.165,1.830883e+23,1385.88501,15808.0,7679.113,13297.587891,0.01465855,25.834,34.841,-0.05863384,0.03692649,126.087,43.56,133.39,69.438
1172.652,22560400000000.0,14575540000000.0,1.213987e+22,304.589,1.869249e+23,1416.375366,16153.0,7456.272,13144.328125,0.01613546,25.168000000000006,34.681,0.05996455,0.0426993,121.294,43.082,126.403,68.036
1117.734,23573870000000.0,14057120000000.0,1.364989e+22,327.0440000000001,1.683222e+23,1100.406738,12552.0,5531.791,11630.541992,0.01427453,22.922,33.539,0.12201825,0.04304528,108.78,40.88800000000001,113.395,56.161
1405.5179999999998,26253570000000.0,3908492000000.0,3.396694e+22,4.349,3.026889e+23,602.4082639999998,6871.0,4772.61,4746.6723630000015,-9.107e-05,13.594,26.337,-0.15603355,-0.0002262,75.35600000000002,31.799,78.78,33.512
1402.215,26838440000000.0,3805511000000.0,3.453099e+22,22.111,3.02117e+23,506.666534,5779.0,4563.585,4162.57373,0.00044355,13.228,26.229,-0.14554183,0.0011554,72.44,31.5,77.575,31.85
1444.039,22125980000000.0,7349999000000.0,2.666644e+22,230.287,2.828206e+23,317.643768,3620.0,6223.6309999999985,1747.216309,0.00673038,18.414,30.765,-0.14616121,0.01404839,72.285,35.73699999999999,92.959,38.968
2226.838,40281280000000.0,6406478000000.0,3.411826e+22,230.61,3.372789e+23,1095.606079,12483.0,5184.896,7546.104492,0.00470845,18.499,29.103,-0.0345022,0.01152315,90.99,36.642,96.168,46.617
2226.838,40281280000000.0,6406478000000.0,3.411826e+22,230.61,3.372789e+23,1095.606079,12483.0,5184.896,7546.104492,0.00470845,18.499,29.103,-0.0345022,0.01152315,90.99,36.642,96.168,46.617
2220.381,40596750000000.0,4431155000000.0,3.4296e+22,183.141,3.307545e+23,1245.307739,14178.0,5127.096,8824.311523,0.00377028,18.326,29.418000000000006,-0.10851719,0.00910335,96.2,36.298,101.201,48.761
1365.165,24770130000000.0,831332400000.0,2.544077e+22,158.458,3.231028e+23,687.4119870000002,7825.0,6422.368,7237.635742,-0.00418315,17.816,28.785,0.03276407,-0.01042135,81.485,34.719,84.432,35.99800000000001
2035.32,41782900000000.0,3735971000000.0,2.861596e+22,120.159,3.677381e+23,1913.724976,21769.0,6425.236,13242.495117,0.00278817,29.116,35.846,0.1343869,0.00708936,104.244,43.074,108.804,55.706
2112.043,45877510000000.0,10587130000000.0,2.764636e+22,178.05,3.801768e+23,2017.634766,22944.0,6423.609,14084.838867,0.00399537,30.412,37.029,0.14601955,0.01118236,102.381,44.117,105.939,56.63800000000001
2204.9970000000008,50215780000000.0,10076240000000.0,2.718323e+22,188.361,4.330456e+23,2252.807861,25637.0,7022.09,15197.511719,0.00405643,35.985,40.335,0.10256127,0.01178594,100.72,47.707,104.63,57.878
1931.992,38238160000000.0,6030321000000.0,2.739933e+22,195.277,4.092296e+23,1876.018433,21331.0,7463.66,20882.984375,-0.00472985,25.103,33.992,0.27759459999999997,-0.01116012,104.386,41.012,106.647,51.158
