HARP_NO,AR,Begin,End
746,11260,2011-07-23 19:24:00,2011-08-01 06:24:00
3129,11836,2013-08-26 12:00:00,2013-09-03 21:24:00
6737,12589,2016-09-05 15:24:00,2016-09-14 22:12:00
6870,12615,2016-11-28 14:24:00,2016-12-06 22:36:00
1879,11532,2012-07-22 21:12:00,2012-07-31 11:24:00
4097,12055,2014-05-04 13:24:00,2014-05-12 21:24:00
1662,11484,2012-05-13 06:36:00,2012-05-21 15:00:00
4040,12044,2014-04-18 02:48:00,2014-04-26 17:00:00
3049,11813,2013-08-06 14:12:00,2013-08-07 11:24:00
1886,11531,2012-07-25 07:48:00,2012-07-26 04:00:00
3288,11873,2013-10-15 00:48:00,2013-10-23 08:48:00
342,11146,2011-01-10 10:48:00,2011-01-11 06:36:00
3263,11861,2013-10-07 08:24:00,2013-10-16 00:48:00
2169,11603,2012-10-30 20:48:00,2012-10-31 16:36:00
6327,12497,2016-02-04 04:24:00,2016-02-12 12:24:00
6454,12526,2016-03-23 20:00:00,2016-04-01 06:12:00
2626,11715,2013-04-02 05:12:00,2013-04-03 22:12:00
1449,11429,2012-03-02 16:24:00,2012-03-11 06:24:00
7010,12657,2017-05-13 02:00:00,2017-05-21 10:48:00
1461,11432,2012-03-08 14:36:00,2012-03-17 16:24:00
1313,11403,2012-01-13 06:24:00,2012-01-21 19:36:00
6483,12529,2016-04-07 08:00:00,2016-04-15 22:12:00
4294,12106,2014-06-27 16:36:00,2014-07-06 01:36:00
394,11165,2011-02-25 20:48:00,2011-03-06 07:36:00
5808,12389,2015-07-23 12:12:00,2015-07-31 21:12:00
3048,11817,2013-08-06 11:00:00,2013-08-14 21:00:00
2342,11643,2012-12-31 00:24:00,2013-01-08 08:48:00
6124,12457,2015-11-19 01:00:00,2015-11-27 10:12:00
155,11103,2010-09-01 09:36:00,2010-09-02 05:36:00
814,11277,2011-08-24 05:00:00,2011-09-01 14:48:00
1844,11522,2012-07-06 17:36:00,2012-07-07 13:24:00
1688,11488,2012-05-20 13:24:00,2012-05-28 22:36:00
4900,12230,2014-12-04 23:36:00,2014-12-13 07:48:00
182,11107,2010-09-12 00:12:00,2010-09-12 22:48:00
5571,12349,2015-05-14 23:12:00,2015-05-23 07:48:00
6078,12449,2015-11-06 01:00:00,2015-11-14 10:24:00
753,11263,2011-07-27 14:12:00,2011-08-05 00:48:00
6939,12632,2017-01-30 09:48:00,2017-01-31 18:00:00
2587,11704,2013-03-22 22:36:00,2013-03-31 10:36:00
